DistrictName,DistrictLEANumber,TotalDistrictEnrollment,CampusName,CampusID,TotalSchoolEnrollment,NewStudentCases,NewStaffCases,NewOnCampus,NewOffCampus,NewUnknown,TotalStudentCases,TotalStaffCases,TotalOnCampus,TotalOffCampus,TotalUnknown
HAMILTON ISD,'097902,845,HAMILTON H S,'097902001,239, , , , , ,7,1,0,3,5
HAMILTON ISD,'097902,845,HAMILTON J H,'097902041,203, , , , , ,*,1,*,*,*
HAMILTON ISD,'097902,845,ANN WHITNEY EL,'097902102,403, , , , , ,11,1,8,0,4
HAMILTON ISD TOTAL,'097902,845,,,845, , , , , ,*,3,*,*,*
HICO ISD,'097903,612,HICO H S,'097903001,297, , , , , ,13,6,0,3,16
HICO ISD,'097903,612,HICO EL,'097903101,315,*,0,*,*,*,28,7,0,3,32
HICO ISD TOTAL,'097903,612,,,612,*,0,*,*,*,41,13,0,6,48
GRUVER ISD,'098901,421,GRUVER H S,'098901001,160, , , , , ,*,0,*,*,*
GRUVER ISD,'098901,421,GRUVER J H,'098901041,116, , , , , ,*,0,*,*,*
GRUVER ISD,'098901,421,GRUVER EL,'098901101,145, , , , , , , , , , 
GRUVER ISD TOTAL,'098901,421,,,421, , , , , ,*,0,*,*,*
PRINGLE-MORSE CISD,'098903,126,PRINGLE-MORSE SCHOOLS,'098903101,126, , , , , , , , , , 
PRINGLE-MORSE CISD TOTAL,'098903,126,,,126, , , , , , , , , , 
SPEARMAN ISD,'098904,795,SPEARMAN H S,'098904001,260,*,1,*,*,*,14,1,0,5,10
SPEARMAN ISD,'098904,795,SPEARMAN J H,'098904041,161, , , , , ,*,0,*,*,*
SPEARMAN ISD,'098904,795,GUS BIRDWELL EL,'098904101,374,*,0,*,*,*,6,3,0,4,5
SPEARMAN ISD TOTAL,'098904,795,,,795,*,1,*,*,*,*,4,*,*,*
CHILLICOTHE ISD,'099902,201,CHILLICOTHE SCHOOL,'099902001,201, , , , , ,*,0,*,*,*
CHILLICOTHE ISD,'099902,201,,"Multiple
Campus",,6,2,2,6,0,7,4,2,9,0
CHILLICOTHE ISD TOTAL,'099902,201,,,201,6,2,2,6,0,*,4,*,*,*
QUANAH ISD,'099903,517,QUANAH H S,'099903001,173, , , , , ,22,0,0,0,22
QUANAH ISD,'099903,517,TRAVIS MIDDLE,'099903041,124, , , , , ,*,0,*,*,*
QUANAH ISD,'099903,517,REAGAN EL,'099903102,220, , , , , ,5,1,0,0,6
QUANAH ISD TOTAL,'099903,517,,,517, , , , , ,*,1,*,*,*
KOUNTZE ISD,'100903,1161,KOUNTZE H S,'100903002,358, , , , , ,37,1,0,10,28
KOUNTZE ISD,'100903,1161,HARDIN CO ALTER ED,'100903003,0, , , , , , , , , , 
KOUNTZE ISD,'100903,1161,KOUNTZE MIDDLE,'100903041,261, , , , , ,32,2,0,12,22
KOUNTZE ISD,'100903,1161,KOUNTZE INT,'100903042,231, , , , , ,24,4,0,3,25
KOUNTZE ISD,'100903,1161,KOUNTZE EL,'100903101,311, , , , , ,26,5,0,4,27
KOUNTZE ISD TOTAL,'100903,1161,,,1161, , , , , ,119,12,0,29,102
SILSBEE ISD,'100904,2785,SILSBEE H S,'100904001,784, , , , , ,110,14,0,0,124
SILSBEE ISD,'100904,2785,HARDIN CO ALTER ED,'100904002,<10, , , , , , , , , , 
SILSBEE ISD,'100904,2785,"EDWARDS-JOHNSON MEMORIAL
MIDDLE",'100904041,640, , , , , ,122,13,0,0,135
SILSBEE ISD,'100904,2785,LAURA REEVES PRI,'100904105,<330, , , , , ,*,5,*,*,*
SILSBEE ISD,'100904,2785,SILSBEE EL,'100904106,1039, , , , , ,110,19,0,0,129
SILSBEE ISD TOTAL,'100904,2785,,,2785, , , , , ,*,51,*,*,*
