DistrictName,DistrictLEANumber,TotalDistrictEnrollment,CampusName,CampusID,TotalSchoolEnrollment,NewStudentCases,NewStaffCases,NewOnCampus,NewOffCampus,NewUnknown,TotalStudentCases,TotalStaffCases,TotalOnCampus,TotalOffCampus,TotalUnknown
CAYUGA ISD,'001902,573,CAYUGA H S,'001902001,171, , , , , ,22,3,14,7,4
CAYUGA ISD,'001902,573,CAYUGA MIDDLE,'001902041,159, , , , , ,12,4,5,6,5
CAYUGA ISD,'001902,573,CAYUGA EL,'001902103,243, , , , , ,8,8,0,12,4
CAYUGA ISD TOTAL,'001902,573,,,573, , , , , ,42,15,19,25,13
ELKHART ISD,'001903,1185,ELKHART H S,'001903001,315, , , , , ,24,0,0,1,23
ELKHART ISD,'001903,1185,ELKHART DAEP,'001903002,0, , , , , , , , , , 
ELKHART ISD,'001903,1185,ELKHART MIDDLE,'001903041,277, , , , , ,24,3,0,0,27
ELKHART ISD,'001903,1185,ELKHART EL,'001903101,332, , , , , ,10,5,0,2,13
ELKHART ISD,'001903,1185,ELKHART INT,'001903102,261, , , , , ,*,0,*,*,*
ELKHART ISD,'001903,1185,,"Multiple
Campus",, , , , , ,0,4,0,1,3
ELKHART ISD TOTAL,'001903,1185,,,1185, , , , , ,*,12,*,*,*
FRANKSTON ISD,'001904,822,FRANKSTON H S,'001904001,237, , , , , ,16,4,0,0,20
FRANKSTON ISD,'001904,822,FRANKSTON MIDDLE,'001904041,208, , , , , ,24,11,0,0,35
FRANKSTON ISD,'001904,822,FRANKSTON EL,'001904102,377, , , , , ,26,13,0,1,38
FRANKSTON ISD,'001904,822,,"Multiple
Campus",, , , , , ,0,9,0,0,9
FRANKSTON ISD TOTAL,'001904,822,,,822, , , , , ,66,37,0,1,102
NECHES ISD,'001906,345,NECHES H S,'001906002,107, , , , , ,19,1,0,0,20
NECHES ISD,'001906,345,NECHES EL,'001906102,238, , , , , ,50,7,2,8,47
NECHES ISD TOTAL,'001906,345,,,345, , , , , ,69,8,2,8,67
PALESTINE ISD,'001907,3392,PALESTINE H S,'001907001,1056, , , , , ,83,5,0,24,64
PALESTINE ISD,'001907,3392,PALESTINE J H,'001907041,515, , , , , ,33,7,0,4,36
PALESTINE ISD,'001907,3392,NORTHSIDE PRI,'001907101,479, , , , , ,11,2,1,1,11
PALESTINE ISD,'001907,3392,"WASHINGTON EARLY CHILDHOOD
CENTER",'001907102,230,*,0,*,*,*,7,13,0,1,19
PALESTINE ISD,'001907,3392,SOUTHSIDE EL,'001907107,477, , , , , ,*,2,*,*,*
PALESTINE ISD,'001907,3392,STORY INT,'001907110,635,*,0,*,*,*,43,6,0,3,46
PALESTINE ISD TOTAL,'001907,3392,,,3392,*,0,*,*,*,*,35,*,*,*
WESTWOOD ISD,'001908,1339,WESTWOOD H S,'001908002,405, , , , , , , , , , 
WESTWOOD ISD,'001908,1339,WESTWOOD J H,'001908041,204, , , , , , , , , , 
WESTWOOD ISD,'001908,1339,WESTWOOD EL,'001908101,380, , , , , , , , , , 
WESTWOOD ISD,'001908,1339,WESTWOOD PRI,'001908102,350, , , , , , , , , , 
WESTWOOD ISD TOTAL,'001908,1339,,,1339, , , , , , , , , , 
SLOCUM ISD,'001909,369,SLOCUM H S,'001909001,108, , , , , ,6,1,0,3,4
SLOCUM ISD,'001909,369,SLOCUM PK - 8,'001909101,261, , , , , ,8,1,0,1,8
SLOCUM ISD TOTAL,'001909,369,,,369, , , , , ,14,2,0,4,12
ANDREWS ISD,'002901,4213,ANDREWS H S,'002901001,1180, , , , , ,46,0,0,46,0
ANDREWS ISD,'002901,4213,ANDREWS EDUCATION CENTER,'002901002,71, , , , , ,*,0,*,*,*
ANDREWS ISD,'002901,4213,ANDREWS MIDDLE,'002901041,946, , , , , ,49,0,0,49,0
ANDREWS ISD,'002901,4213,DEVONIAN EL,'002901101,624, , , , , ,10,0,0,10,0
ANDREWS ISD,'002901,4213,UNDERWOOD EL,'002901104,612, , , , , ,19,0,0,19,0
ANDREWS ISD,'002901,4213,CLEARFORK EL,'002901105,780, , , , , ,35,0,0,35,0
ANDREWS ISD,'002901,4213,,"Multiple
Campus",, , , , , ,0,13,0,13,0
ANDREWS ISD TOTAL,'002901,4213,,,4213, , , , , ,*,13,*,*,*
"PINEYWOODS COMMUNITY
ACADEMY",'003801,999,"PINEYWOODS COMMUNITY
ACADEMY H S",'003801001,259, , , , , ,0,5,0,0,5
"PINEYWOODS COMMUNITY
ACADEMY",'003801,999,"PINEYWOOD COMMUNITY
ACADEMY - LIVINGSTON",'003801002,<10, , , , , , , , , , 
"PINEYWOODS COMMUNITY
ACADEMY",'003801,999,DR TERRY ROBBINS MIDDLE,'003801042,<240, , , , , , , , , , 
"PINEYWOODS COMMUNITY
ACADEMY",'003801,999,SARAH STRINDEN EL,'003801103,504, , , , , ,*,0,*,*,*
"PINEYWOODS COMMUNITY
ACADEMY",'003801,999,,"Multiple
Campus",, , , , , ,110,21,10,9,112
"PINEYWOODS COMMUNITY
ACADEMY TOTAL",'003801,999,,,999, , , , , ,*,26,*,*,*
HUDSON ISD,'003902,2834,HUDSON H S,'003902001,836, , , , , ,83,6,0,0,89
HUDSON ISD,'003902,2834,STUBBLEFIELD LRN CTR,'003902004,12, , , , , , , , , , 
HUDSON ISD,'003902,2834,HUDSON MIDDLE,'003902041,651, , , , , ,53,5,0,0,58
HUDSON ISD,'003902,2834,W F PEAVY PRI,'003902101,678, , , , , ,51,14,0,0,65
HUDSON ISD,'003902,2834,W H BONNER EL,'003902102,657, , , , , ,44,3,0,0,47
HUDSON ISD TOTAL,'003902,2834,,,2834, , , , , ,231,28,0,0,259
LUFKIN ISD,'003903,7523,LUFKIN H S,'003903001,2237, , , , , ,121,19,0,7,133
LUFKIN ISD,'003903,7523,ALTER SCH,'003903003,0, , , , , ,*,2,*,*,*
LUFKIN ISD,'003903,7523,STUBBLEFIELD LRN CTR,'003903004,41, , , , , , , , , , 
LUFKIN ISD,'003903,7523,LUFKIN MIDDLE,'003903044,1607, , , , , ,137,15,0,0,152
LUFKIN ISD,'003903,7523,ANDERSON EL,'003903120,236, , , , , ,22,5,0,0,27
LUFKIN ISD,'003903,7523,BRANDON EL,'003903121,391, , , , , ,46,4,0,0,50
LUFKIN ISD,'003903,7523,BROOKHOLLOW EL,'003903122,274, , , , , ,16,2,0,0,18
LUFKIN ISD,'003903,7523,COSTON EL,'003903123,199, , , , , ,9,3,0,0,12
LUFKIN ISD,'003903,7523,DUNBAR PRI,'003903124,415, , , , , ,35,6,0,0,41
LUFKIN ISD,'003903,7523,GARRETT PRI,'003903125,276, , , , , ,11,2,0,0,13
LUFKIN ISD,'003903,7523,HACKNEY PRI,'003903126,133, , , , , ,0,2,0,0,2
LUFKIN ISD,'003903,7523,HERTY PRI,'003903127,258, , , , , ,17,6,0,0,23
LUFKIN ISD,'003903,7523,KURTH PRI,'003903128,277, , , , , ,10,3,0,0,13
LUFKIN ISD,'003903,7523,SLACK EL,'003903129,506, , , , , ,25,5,0,0,30
LUFKIN ISD,'003903,7523,TROUT PRI,'003903130,277, , , , , ,17,2,0,0,19
LUFKIN ISD,'003903,7523,BURLEY PRI,'003903131,379, , , , , ,15,5,0,0,20
LUFKIN ISD,'003903,7523,SPECIAL SERVICES,'003903141,<20, , , , , , , , , , 
LUFKIN ISD,'003903,7523,JUVENILE DETENT CTR,'003903201,<10, , , , , , , , , , 
LUFKIN ISD TOTAL,'003903,7523,,,7523, , , , , ,*,81,*,*,*
HUNTINGTON ISD,'003904,1643,HUNTINGTON H S,'003904001,501, , , , , ,29,4,0,0,33
HUNTINGTON ISD,'003904,1643,PRIDE ALTER SCH,'003904005,14, , , , , ,*,1,*,*,*
HUNTINGTON ISD,'003904,1643,HUNTINGTON MIDDLE,'003904041,380, , , , , ,28,6,0,0,34
HUNTINGTON ISD,'003904,1643,HUNTINGTON EL,'003904101,507, , , , , ,13,10,0,0,23
HUNTINGTON ISD,'003904,1643,HUNTINGTON INT,'003904102,241, , , , , ,17,6,0,0,23
HUNTINGTON ISD,'003904,1643,,"Multiple
Campus",, , , , , ,0,3,0,0,3
HUNTINGTON ISD TOTAL,'003904,1643,,,1643, , , , , ,*,30,*,*,*
DIBOLL ISD,'003905,1762,DIBOLL H S,'003905001,527, , , , , ,49,4,5,4,44
DIBOLL ISD,'003905,1762,STUBBLEFIELD LRN CTR,'003905004,<10, , , , , , , , , , 
DIBOLL ISD,'003905,1762,DIBOLL J H,'003905041,384, , , , , ,15,10,3,2,20
DIBOLL ISD,'003905,1762,H G TEMPLE EL,'003905101,334, , , , , ,16,1,0,2,15
DIBOLL ISD,'003905,1762,DIBOLL PRI,'003905102,<160, , , , , ,*,3,*,*,*
DIBOLL ISD,'003905,1762,H G TEMPLE INT,'003905103,356, , , , , ,*,6,*,*,*
DIBOLL ISD TOTAL,'003905,1762,,,1762, , , , , ,107,24,11,10,110
ZAVALLA ISD,'003906,308,ZAVALLA H S,'003906001,150, , , , , ,*,6,*,*,*
ZAVALLA ISD,'003906,308,STUBBLEFIELD LRN CTR,'003906004,0, , , , , , , , , , 
ZAVALLA ISD,'003906,308,ZAVALLA EL,'003906101,158, , , , , ,*,4,*,*,*
ZAVALLA ISD TOTAL,'003906,308,,,308, , , , , ,*,10,*,*,*
CENTRAL ISD,'003907,1452,CENTRAL H S,'003907001,376, , , , , ,*,0,*,*,*
CENTRAL ISD,'003907,1452,STUBBLEFIELD LRN CTR,'003907004,10, , , , , , , , , , 
CENTRAL ISD,'003907,1452,CENTRAL J H,'003907041,437, , , , , , , , , , 
CENTRAL ISD,'003907,1452,CENTRAL EL,'003907102,629, , , , , , , , , , 
CENTRAL ISD TOTAL,'003907,1452,,,1452, , , , , ,*,0,*,*,*
ARANSAS COUNTY ISD,'004901,3026,ROCKPORT-FULTON H S,'004901001,943, , , , , ,183,15,0,1,197
ARANSAS COUNTY ISD,'004901,3026,ROCKPORT-FULTON MIDDLE,'004901041,728, , , , , ,123,8,0,1,130
ARANSAS COUNTY ISD,'004901,3026,FULTON LEARNING CENTER,'004901101,634, , , , , ,53,5,0,0,58
ARANSAS COUNTY ISD,'004901,3026,LIVE OAK LEARNING CENTER,'004901103,721, , , , , ,66,7,0,0,73
ARANSAS COUNTY ISD,'004901,3026,,"Multiple
Campus",, , , , , ,9,31,8,10,22
ARANSAS COUNTY ISD TOTAL,'004901,3026,,,3026, , , , , ,434,66,8,12,480
ARCHER CITY ISD,'005901,513,ARCHER CITY H S,'005901001,234, , , , , , , , , , 
ARCHER CITY ISD,'005901,513,ARCHER CITY EL,'005901101,279, , , , , , , , , , 
ARCHER CITY ISD TOTAL,'005901,513,,,513, , , , , , , , , , 
HOLLIDAY ISD,'005902,1133,HOLLIDAY H S,'005902001,342, , , , , ,17,2,1,0,18
HOLLIDAY ISD,'005902,1133,HOLLIDAY MIDDLE,'005902041,277, , , , , ,16,2,0,0,18
HOLLIDAY ISD,'005902,1133,HOLLIDAY EL,'005902101,514, , , , , ,11,0,0,0,11
HOLLIDAY ISD,'005902,1133,,"Multiple
Campus",, , , , , ,0,3,0,0,3
HOLLIDAY ISD TOTAL,'005902,1133,,,1133, , , , , ,44,7,1,0,50
WINDTHORST ISD,'005904,531,WINDTHORST H S,'005904001,132, , , , , ,*,0,*,*,*
WINDTHORST ISD,'005904,531,WINDTHORST JH,'005904041,116, , , , , , , , , , 
WINDTHORST ISD,'005904,531,WINDTHORST EL,'005904101,283, , , , , ,*,1,*,*,*
WINDTHORST ISD,'005904,531,,"Multiple
Campus",, , , , , ,0,1,0,0,1
WINDTHORST ISD TOTAL,'005904,531,,,531, , , , , ,*,2,*,*,*
CLAUDE ISD,'006902,314,CLAUDE SCHOOLS,'006902001,314, , , , , ,15,5,0,2,18
CLAUDE ISD TOTAL,'006902,314,,,314, , , , , ,15,5,0,2,18
CHARLOTTE ISD,'007901,401,CHARLOTTE H S,'007901001,126, , , , , ,26,1,0,0,27
CHARLOTTE ISD,'007901,401,ATASCOSA CO ALTER,'007901002,0, , , , , , , , , , 
CHARLOTTE ISD,'007901,401,"DISTRICT REASSIGNMENT &
OPPORTUNITY CENTER",'007901003,0, , , , , , , , , , 
CHARLOTTE ISD,'007901,401,CHARLOTTE MIDDLE,'007901041,102, , , , , ,9,1,0,0,10
CHARLOTTE ISD,'007901,401,CHARLOTTE EL,'007901101,173, , , , , ,32,2,0,0,34
CHARLOTTE ISD,'007901,401,,"Multiple
Campus",, , , , , ,0,2,0,0,2
CHARLOTTE ISD TOTAL,'007901,401,,,401, , , , , ,67,6,0,0,73
JOURDANTON ISD,'007902,1588,JOURDANTON H S,'007902001,445, , , , , ,11,1,0,5,7
JOURDANTON ISD,'007902,1588,THE LARRY BROWN SCHOOL,'007902004,<10, , , , , , , , , , 
JOURDANTON ISD,'007902,1588,"ATASCOSA COUNTY JUVENILE
JUSTICE CENTER",'007902005,11, , , , , , , , , , 
JOURDANTON ISD,'007902,1588,JOURDANTON DAEP,'007902006,<10, , , , , , , , , , 
JOURDANTON ISD,'007902,1588,JOURDANTON J H,'007902041,378, , , , , ,24,1,0,0,25
JOURDANTON ISD,'007902,1588,JOURDANTON EL,'007902101,440, , , , , ,20,1,0,2,19
JOURDANTON ISD,'007902,1588,JOURDANTON ECC,'007902102,304, , , , , ,13,3,0,2,14
JOURDANTON ISD TOTAL,'007902,1588,,,1588, , , , , ,68,6,0,9,65
LYTLE ISD,'007904,1762,LYTLE H S,'007904001,498, , , , , ,20,4,0,24,0
LYTLE ISD,'007904,1762,LYTLE DAEP,'007904002,<10, , , , , , , , , , 
LYTLE ISD,'007904,1762,JJAEP,'007904003,0, , , , , , , , , , 
LYTLE ISD,'007904,1762,LYTLE J H,'007904041,398, , , , , ,33,8,0,41,0
LYTLE ISD,'007904,1762,LYTLE EL,'007904101,514, , , , , ,48,9,0,57,0
LYTLE ISD,'007904,1762,LYTLE PRIMARY SCHOOL,'007904103,<350, , , , , ,*,12,*,*,*
LYTLE ISD TOTAL,'007904,1762,,,1762, , , , , ,*,33,*,*,*
PLEASANTON ISD,'007905,3459,PLEASANTON H S,'007905001,986, , , , , ,12,3,0,0,15
PLEASANTON ISD,'007905,3459,ATASCOSA CO ALTER,'007905004,<10, , , , , , , , , , 
PLEASANTON ISD,'007905,3459,"PLEASANTON ISD SCHOOL OF
CHOICE",'007905005,<20, , , , , , , , , , 
PLEASANTON ISD,'007905,3459,PLEASANTON J H,'007905041,766,*,0,*,*,*,8,2,0,0,10
PLEASANTON ISD,'007905,3459,PLEASANTON EL,'007905103,997, , , , , ,*,5,*,*,*
PLEASANTON ISD,'007905,3459,PLEASANTON PRI,'007905105,689, , , , , ,10,3,0,0,13
PLEASANTON ISD TOTAL,'007905,3459,,,3459,*,0,*,*,*,*,13,*,*,*
POTEET ISD,'007906,1690,POTEET H S,'007906001,497, , , , , ,16,2,14,4,0
POTEET ISD,'007906,1690,ATASCOSA CO JUVENILE UNIT,'007906003,0, , , , , , , , , , 
POTEET ISD,'007906,1690,POTEET J H,'007906041,390, , , , , ,23,1,22,2,0
POTEET ISD,'007906,1690,POTEET EL,'007906101,568, , , , , ,9,0,5,4,0
POTEET ISD,'007906,1690,POTEET INT,'007906102,235, , , , , ,*,0,*,*,*
POTEET ISD TOTAL,'007906,1690,,,1690, , , , , ,*,3,*,*,*
BELLVILLE ISD,'008901,2217,BELLVILLE H S,'008901001,688, , , , , ,44,2,0,0,46
BELLVILLE ISD,'008901,2217,SPICER ALTER ED CTR,'008901002,0, , , , , , , , , , 
BELLVILLE ISD,'008901,2217,BELLVILLE J H,'008901041,546, , , , , ,48,5,0,2,51
BELLVILLE ISD,'008901,2217,O'BRYANT PRI,'008901101,553, , , , , ,31,6,0,0,37
BELLVILLE ISD,'008901,2217,O'BRYANT INT,'008901102,263, , , , , ,16,0,0,0,16
BELLVILLE ISD,'008901,2217,WEST END EL,'008901105,167, , , , , ,11,0,0,0,11
BELLVILLE ISD,'008901,2217,,"Multiple
Campus",, , , , , ,0,2,0,0,2
BELLVILLE ISD TOTAL,'008901,2217,,,2217, , , , , ,150,15,0,2,163
SEALY ISD,'008902,2830,SEALY H S,'008902001,844, , , , , ,61,1,0,9,53
SEALY ISD,'008902,2830,SEALY J H,'008902041,679, , , , , ,50,6,0,4,52
SEALY ISD,'008902,2830,SELMAN EL,'008902102,637, , , , , ,37,7,0,7,37
SEALY ISD,'008902,2830,SEALY EL,'008902104,670, , , , , ,49,2,5,6,40
SEALY ISD,'008902,2830,,"Multiple
Campus",, , , , , ,0,6,0,1,5
SEALY ISD TOTAL,'008902,2830,,,2830, , , , , ,197,22,5,27,187
BRAZOS ISD,'008903,770,BRAZOS H S,'008903001,276, , , , , ,31,3,0,0,34
BRAZOS ISD,'008903,770,BRAZOS MIDDLE,'008903041,197, , , , , ,10,4,0,1,13
BRAZOS ISD,'008903,770,BRAZOS EL,'008903102,297, , , , , ,10,0,0,1,9
BRAZOS ISD TOTAL,'008903,770,,,770, , , , , ,51,7,0,2,56
MULESHOE ISD,'009901,1372,MULESHOE H S,'009901001,377, , , , , ,*,2,*,*,*
MULESHOE ISD,'009901,1372,WATSON J H,'009901041,307, , , , , ,0,2,0,2,0
MULESHOE ISD,'009901,1372,MARY DESHAZO EL,'009901101,294, , , , , ,*,1,*,*,*
MULESHOE ISD,'009901,1372,DILLMAN EL,'009901103,394,0,1,0,1,0,*,5,*,*,*
MULESHOE ISD,'009901,1372,,"Multiple
Campus",, , , , , ,0,1,0,1,0
MULESHOE ISD TOTAL,'009901,1372,,,1372,0,1,0,1,0,*,11,*,*,*
MEDINA ISD,'010901,265,MEDINA SCHOOL,'010901001,265, , , , , , , , , , 
MEDINA ISD TOTAL,'010901,265,,,265, , , , , , , , , , 
BANDERA ISD,'010902,2321,BANDERA H S,'010902001,694, , , , , ,60,0,0,13,47
BANDERA ISD,'010902,2321,BANDERA MIDDLE,'010902041,558, , , , , ,67,5,0,0,72
BANDERA ISD,'010902,2321,ALKEK EL,'010902101,635, , , , , ,22,7,0,2,27
BANDERA ISD,'010902,2321,HILL COUNTRY EL,'010902102,434, , , , , ,27,12,0,0,39
BANDERA ISD TOTAL,'010902,2321,,,2321, , , , , ,176,24,0,15,185
BASTROP ISD,'011901,12101,BASTROP H S,'011901001,1585, , , , , ,79,6,3,0,82
BASTROP ISD,'011901,12101,CEDAR CREEK H S,'011901002,1897, , , , , ,66,9,8,0,67
BASTROP ISD,'011901,12101,"COLORADO RIVER COLLEGIATE
ACADEMY",'011901005,241, , , , , ,9,0,0,0,9
BASTROP ISD,'011901,12101,GENESIS H S,'011901022,138, , , , , ,9,0,0,0,9
BASTROP ISD,'011901,12101,BASTROP MIDDLE,'011901041,873,*,0,*,*,*,48,7,4,1,50
BASTROP ISD,'011901,12101,EMILE EL,'011901101,788, , , , , ,35,7,4,0,38
BASTROP ISD,'011901,12101,MINA EL,'011901102,747, , , , , ,40,8,0,1,47
BASTROP ISD,'011901,12101,CEDAR CREEK EL,'011901103,960, , , , , ,20,9,1,3,25
BASTROP ISD,'011901,12101,BASTROP INT,'011901104,792, , , , , ,57,11,1,1,66
BASTROP ISD,'011901,12101,CEDAR CREEK MIDDLE,'011901106,1058, , , , , ,*,9,*,*,*
BASTROP ISD,'011901,12101,RED ROCK EL,'011901107,667, , , , , ,31,6,0,3,34
BASTROP ISD,'011901,12101,CEDAR CREEK INT,'011901108,951, , , , , ,44,2,1,0,45
BASTROP ISD,'011901,12101,BLUEBONNET EL,'011901109,762, , , , , ,36,5,0,1,40
BASTROP ISD,'011901,12101,LOST PINES EL,'011901110,642,*,0,*,*,*,24,15,2,0,37
BASTROP ISD TOTAL,'011901,12101,,,12101,*,0,*,*,*,*,94,*,*,*
ELGIN ISD,'011902,4825,ELGIN H S,'011902001,1512,*,0,*,*,*,41,12,8,0,45
ELGIN ISD,'011902,4825,"BASTROP COUNTY JUVENILE BOOT
CAMP",'011902003,<10, , , , , , , , , , 
ELGIN ISD,'011902,4825,PHOENIX H S,'011902004,<40, , , , , ,*,0,*,*,*
ELGIN ISD,'011902,4825,ELGIN MIDDLE,'011902041,739,*,0,*,*,*,19,11,4,1,25
ELGIN ISD,'011902,4825,ELGIN INT,'011902042,671,*,0,*,*,*,62,5,0,0,67
ELGIN ISD,'011902,4825,BOOKER T WASHINGTON EL,'011902101,649, , , , , ,25,7,0,1,31
ELGIN ISD,'011902,4825,ELGIN EL,'011902102,709,0,1,0,0,1,19,3,1,0,21
ELGIN ISD,'011902,4825,NEIDIG EL,'011902103,507, , , , , ,12,1,0,0,13
ELGIN ISD TOTAL,'011902,4825,,,4825,*,1,*,*,*,*,39,*,*,*
SMITHVILLE ISD,'011904,1824,SMITHVILLE H S,'011904002,581, , , , , ,*,4,*,*,*
SMITHVILLE ISD,'011904,1824,"BASTROP COUNTY JUVENILE BOOT
CAMP",'011904004,0, , , , , , , , , , 
SMITHVILLE ISD,'011904,1824,SMITHVILLE J H,'011904041,403, , , , , ,7,1,0,0,8
SMITHVILLE ISD,'011904,1824,SMITHVILLE EL,'011904101,642, , , , , ,0,1,0,0,1
SMITHVILLE ISD,'011904,1824,BROWN PRI,'011904102,198, , , , , , , , , , 
SMITHVILLE ISD,'011904,1824,,"Multiple
Campus",, , , , , ,0,5,0,0,5
SMITHVILLE ISD TOTAL,'011904,1824,,,1824, , , , , ,*,11,*,*,*
MCDADE ISD,'011905,322,MCDADE H S,'011905001,133, , , , , ,*,1,*,*,*
MCDADE ISD,'011905,322,MCDADE JJAEP,'011905011,0, , , , , , , , , , 
MCDADE ISD,'011905,322,MCDADE EL,'011905101,189, , , , , ,*,2,*,*,*
MCDADE ISD,'011905,322,,"Multiple
Campus",, , , , , ,0,1,0,0,1
MCDADE ISD TOTAL,'011905,322,,,322, , , , , ,*,4,*,*,*
SEYMOUR ISD,'012901,632,SEYMOUR H S,'012901001,171, , , , , ,14,1,0,2,13
SEYMOUR ISD,'012901,632,SEYMOUR MIDDLE,'012901042,185, , , , , ,*,0,*,*,*
SEYMOUR ISD,'012901,632,SEYMOUR EL,'012901101,276, , , , , ,*,3,*,*,*
SEYMOUR ISD,'012901,632,,"Multiple
Campus",, , , , , ,1,1,0,0,2
SEYMOUR ISD TOTAL,'012901,632,,,632, , , , , ,*,5,*,*,*
"ST MARY'S ACADEMY CHARTER
SCHOOL",'013801,410,"ST MARY'S ACADEMY CHARTER
SCHOOL",'013801101,410, , , , , ,22,4,0,0,26
"ST MARY'S ACADEMY CHARTER
SCHOOL TOTAL",'013801,410,,,410, , , , , ,22,4,0,0,26
BEEVILLE ISD,'013901,3021,A C JONES H S,'013901001,998, , , , , ,74,8,2,16,64
BEEVILLE ISD,'013901,3021,MORENO J H,'013901041,764, , , , , ,46,2,1,5,42
BEEVILLE ISD,'013901,3021,R A HALL EL,'013901101,445, , , , , ,33,7,0,7,33
BEEVILLE ISD,'013901,3021,FADDEN-MCKEOWN-CHAMBLISS EL,'013901102,518, , , , , ,31,1,1,6,25
BEEVILLE ISD,'013901,3021,"HAMPTON-MORENO-DUGAT EARLY
CHILDHOOD CENTER",'013901105,296, , , , , ,20,5,0,8,17
BEEVILLE ISD,'013901,3021,,"Multiple
Campus",, , , , , ,0,1,0,0,1
BEEVILLE ISD TOTAL,'013901,3021,,,3021, , , , , ,204,24,4,42,182
PAWNEE ISD,'013902,499,PAWNEE EL / J H,'013902101,499, , , , , ,6,3,0,3,6
PAWNEE ISD,'013902,499,,"Multiple
Campus",, , , , , ,8,2,0,7,3
PAWNEE ISD TOTAL,'013902,499,,,499, , , , , ,14,5,0,10,9
PETTUS ISD,'013903,373,PETTUS SECONDARY,'013903001,193, , , , , ,21,5,0,2,24
PETTUS ISD,'013903,373,PETTUS EL,'013903101,180, , , , , ,6,1,0,4,3
PETTUS ISD TOTAL,'013903,373,,,373, , , , , ,27,6,0,6,27
SKIDMORE-TYNAN ISD,'013905,794,SKIDMORE-TYNAN H S,'013905001,244, , , , , ,35,2,3,0,34
SKIDMORE-TYNAN ISD,'013905,794,SKIDMORE-TYNAN J H,'013905041,181, , , , , ,25,2,2,3,22
SKIDMORE-TYNAN ISD,'013905,794,SKIDMORE-TYNAN EL,'013905101,369, , , , , ,57,5,6,12,44
SKIDMORE-TYNAN ISD,'013905,794,,"Multiple
Campus",, , , , , ,0,8,2,2,4
SKIDMORE-TYNAN ISD TOTAL,'013905,794,,,794, , , , , ,117,17,13,17,104
"RICHARD MILBURN ALTER HIGH
SCHOOL (KILLEEN)",'014801,1722,"RICHARD MILBURN ALTER H S
(KILLEEN)",'014801001,151, , , , , ,5,0,0,5,0
"RICHARD MILBURN ALTER HIGH
SCHOOL (KILLEEN)",'014801,1722,"RICHARD MILBURN ACADEMY
ODESSA",'014801002,371,*,0,*,*,*,6,0,0,6,0
"RICHARD MILBURN ALTER HIGH
SCHOOL (KILLEEN)",'014801,1722,"RICHARD MILBURN ACADEMY
LUBBOCK",'014801004,165, , , , , ,10,0,0,10,0
"RICHARD MILBURN ALTER HIGH
SCHOOL (KILLEEN)",'014801,1722,"RICHARD MILBURN ACADEMY
HOUSTON (SUBURBAN)",'014801005,164, , , , , ,*,0,*,*,*
"RICHARD MILBURN ALTER HIGH
SCHOOL (KILLEEN)",'014801,1722,"RICHARD MILBURN ACADEMY FORT
WORTH",'014801006,176, , , , , ,*,0,*,*,*
"RICHARD MILBURN ALTER HIGH
SCHOOL (KILLEEN)",'014801,1722,"RICHARD MILBURN ACADEMY
CORPUS CHRISTI",'014801007,200, , , , , ,*,0,*,*,*
"RICHARD MILBURN ALTER HIGH
SCHOOL (KILLEEN)",'014801,1722,"RICHARD MILBURN ACADEMY
AMARILLO",'014801008,198, , , , , ,10,0,0,10,0
"RICHARD MILBURN ALTER HIGH
SCHOOL (KILLEEN)",'014801,1722,"RICHARD MILBURN ACADEMY
PASADENA",'014801009,143, , , , , ,*,0,*,*,*
"RICHARD MILBURN ALTER HIGH
SCHOOL (KILLEEN)",'014801,1722,"RICHARD MILBURN ACADEMY
MIDLAND SOUTH",'014801010,154, , , , , ,*,0,*,*,*
"RICHARD MILBURN ALTER HIGH
SCHOOL (KILLEEN)",'014801,1722,,"Multiple
Campus",,0,2,0,2,0,0,17,0,15,2
"RICHARD MILBURN ALTER HIGH
SCHOOL (KILLEEN) TOTAL",'014801,1722,,,1722,*,2,*,*,*,57,17,0,72,2
PRIORITY CHARTER SCHOOLS,'014803,880,"GEORGETOWN CHARTER
ACADEMY",'014803002,136, , , , , ,*,1,*,*,*
PRIORITY CHARTER SCHOOLS,'014803,880,COVE CHARTER ACADEMY,'014803003,269, , , , , ,10,2,0,0,12
PRIORITY CHARTER SCHOOLS,'014803,880,CEDAR PARK CHARTER ACADEMY,'014803004,166, , , , , , , , , , 
PRIORITY CHARTER SCHOOLS,'014803,880,TEMPLE CHARTER ACADEMY,'014803101,309, , , , , ,*,9,*,*,*
"PRIORITY CHARTER SCHOOLS
TOTAL",'014803,880,,,880, , , , , ,*,12,*,*,*
ORENDA CHARTER SCHOOL,'014804,1921,NEW HORIZONS,'014804002,64, , , , , ,0,1,0,1,0
ORENDA CHARTER SCHOOL,'014804,1921,GATEWAY TECH H S,'014804005,84, , , , , , , , , , 
ORENDA CHARTER SCHOOL,'014804,1921,"GATEWAY COLLEGE
PREPARATORY SCHOOL",'014804006,1528,*,0,*,*,*,103,10,31,29,53
ORENDA CHARTER SCHOOL,'014804,1921,NOLAN CREEK SCHOOL,'014804007,113, , , , , ,8,7,4,4,7
ORENDA CHARTER SCHOOL,'014804,1921,KINGSLAND SCHOOL,'014804008,132, , , , , ,11,1,0,11,1
"ORENDA CHARTER SCHOOL
TOTAL",'014804,1921,,,1921,*,0,*,*,*,122,19,35,45,61
